Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2015-01-02,314.49899,317.204,317.31599,312.567
BTC,2015-01-03,311.14099,314.49899,315.56599,310.156
BTC,2015-01-04,277.853,311.14099,312.288,275.952
BTC,2015-01-05,270.813,277.853,286.243,257.022
BTC,2015-01-06,272.0175,270.813,277.97199,265.24
BTC,2015-01-07,283.84125,272.0175,286.95999,271.67874
BTC,2015-01-08,290.485,283.84125,300.24124,283.68
BTC,2015-01-09,281.03625,290.485,291.40499,280.365
BTC,2015-01-10,286.688,281.03625,291.2475,280.92375
BTC,2015-01-11,277.64999,286.688,287.87,272.82399
BTC,2015-01-12,268.10199,277.64999,277.64999,263.834
BTC,2015-01-13,243.081,268.10199,271.774,243.081
BTC,2015-01-14,219.128,243.081,249.04299,216.356
BTC,2015-01-15,193.3511,219.128,219.973,170.084
BTC,2015-01-16,220.5745,193.3511,229.3059,192.0803
BTC,2015-01-17,209.1655,220.5745,222.0138,199.1781
BTC,2015-01-18,195.59467,209.1655,209.3242,194.9578
BTC,2015-01-19,212.2711,195.59467,218.9848,194.5501
BTC,2015-01-20,211.5401,212.2711,216.6805,206.6594
BTC,2015-01-21,212.28249,211.5401,214.66619,204.8001
BTC,2015-01-22,230.6754,212.28249,236.83589,210.8765
BTC,2015-01-23,226.30419,230.6754,236.34609,224.3954
BTC,2015-01-24,231.4242,226.30419,235.02849,224.9847
BTC,2015-01-25,251.606,231.4242,254.98829,231.4242
BTC,2015-01-26,283.59769,251.606,290.8877,243.305
BTC,2015-01-27,258.5374,283.59769,307.9664,254.225
BTC,2015-01-28,257.447,258.5374,268.022,250.9381
BTC,2015-01-29,235.948,257.447,262.7574,225.266
BTC,2015-01-30,233.141,235.948,237.463,220.1002
BTC,2015-01-31,226.94116,233.141,242.724,225.08875
BTC,2015-02-01,216.66066,226.94116,233.52791,215.00708
BTC,2015-02-02,229.80441,216.66066,231.91775,211.53066
BTC,2015-02-03,237.65175,229.80441,242.31883,222.218
BTC,2015-02-04,225.83858,237.65175,246.1851,224.10733
