Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2016-01-02,433.773,432.358,436.187,427.317
BTC,2016-01-03,431.985,433.773,435.739,429.768
BTC,2016-01-04,431.691,431.985,432.417,424.152
BTC,2016-01-05,433.732,431.691,435.151,430.595
BTC,2016-01-06,427.164,433.732,433.935,426.171
BTC,2016-01-07,441.021,427.164,443.528,426.602
BTC,2016-01-08,457.168,441.021,463.954,439.454
BTC,2016-01-09,452.368,457.168,457.583,447.388
BTC,2016-01-10,445.327,452.368,452.732,444.22
BTC,2016-01-11,450.312,445.327,451.436,441.187
BTC,2016-01-12,446.614,450.312,450.541,443.258
BTC,2016-01-13,431.156,446.614,447.731,422.105
BTC,2016-01-14,431.41,431.156,433.668,424.143
BTC,2016-01-15,416.29,431.41,432.253,413.981
BTC,2016-01-16,372.737,416.29,417.842,358.76599
BTC,2016-01-17,383.138,372.737,390.801,353.276
BTC,2016-01-18,380.817,383.138,387.229,378.263
BTC,2016-01-19,382.738,380.817,387.476,374.485
BTC,2016-01-20,378.775,382.738,386.638,374.217
BTC,2016-01-21,417.439,378.775,424.651,378.007
BTC,2016-01-22,403.271,417.439,420.34,402.98
BTC,2016-01-23,388.219,403.271,403.685,374.138
BTC,2016-01-24,388.538,388.219,394.496,381.191
BTC,2016-01-25,397.885,388.538,405.799,387.458
BTC,2016-01-26,390.715,397.885,400.99699,386.522
BTC,2016-01-27,392.389,390.715,397.57,388.027
BTC,2016-01-28,381.356,392.389,396.568,377.095
BTC,2016-01-29,369.133,381.356,384.499,363.642
BTC,2016-01-30,376.952,369.133,384.489,368.704
BTC,2016-01-31,378.174,376.952,380.69899,375.427
BTC,2016-02-01,372.157,378.174,379.529,364.288
BTC,2016-02-02,372.453,372.157,378.518,369.019
BTC,2016-02-03,372.762,372.453,374.829,369.263
BTC,2016-02-04,370.433,372.762,373.793,366.316
BTC,2016-02-05,386.954,370.433,391.268,370.408
BTC,2016-02-06,377.889,386.954,390.194,376.942
BTC,2016-02-07,376.44,377.889,378.577,370.602
BTC,2016-02-08,376.924,376.44,379.561,372.885
BTC,2016-02-09,372.434,376.924,378.688,370.769
BTC,2016-02-10,374.764,372.434,376.286,370.953
BTC,2016-02-11,379.186,374.764,383.564,374.649
BTC,2016-02-12,378.576,379.186,379.992,373.217
BTC,2016-02-13,388.87,378.576,388.87,378.576
BTC,2016-02-14,397.23,388.87,398.059,387.492
BTC,2016-02-15,405.621,397.23,410.239,395.046
BTC,2016-02-16,401.663,405.621,407.002,395.481
BTC,2016-02-17,407.017,401.663,408.124,399.79499
BTC,2016-02-18,417.492,407.017,421.021,407.015
BTC,2016-02-19,421.956,417.492,424.982,416.505
BTC,2016-02-20,422.054,421.956,422.311,415.684
BTC,2016-02-21,439.61,422.054,443.183,421.577
BTC,2016-02-22,436.14,439.61,448.29,427
BTC,2016-02-23,438.745,436.14,440.698,433.18199
BTC,2016-02-24,419.896,438.745,439.18,415.613
BTC,2016-02-25,422.617,419.896,427.026,411.124
BTC,2016-02-26,421.244,422.617,424.816,418.189
BTC,2016-02-27,433.401,421.244,434.76599,420.017
BTC,2016-02-28,425.502,433.401,433.677,422.07399
BTC,2016-02-29,438.28,425.502,439.049,424.357
BTC,2016-03-01,436.426,438.28,441.655,433.788
BTC,2016-03-02,434.001,436.426,436.426,428.502
BTC,2016-03-03,419.254,434.001,434.309,417.05
BTC,2016-03-04,421.597,419.254,423.522,415.639
BTC,2016-03-05,407.722,421.597,422.57,401.662
BTC,2016-03-06,397.883,407.722,408.953,388.958
BTC,2016-03-07,407.276,397.883,409.721,395.76599
BTC,2016-03-08,414.213,407.276,415.512,405.127
BTC,2016-03-09,410.739,414.213,415.091,408.481
BTC,2016-03-10,411.672,410.739,413.784,409.594
BTC,2016-03-11,416.708,411.672,416.972,411.124
BTC,2016-03-12,415.04,416.708,421.933,414.407
BTC,2016-03-13,411.637,415.04,415.96,407.299
BTC,2016-03-14,414.208,411.637,416.025,411.434
BTC,2016-03-15,416.034,414.208,416.441,412.91099
BTC,2016-03-16,414.167,416.034,417.124,412.6
BTC,2016-03-17,417.138,414.167,417.207,413.796
BTC,2016-03-18,417.154,417.138,419.506,416.736
BTC,2016-03-19,407.473,417.154,417.662,403.62199
BTC,2016-03-20,409.24,407.473,411.364,403.345
BTC,2016-03-21,407.496,409.24,412.431,407.132
BTC,2016-03-22,415.125,407.496,415.14099,406.931
BTC,2016-03-23,417.318,415.125,417.716,415.125
BTC,2016-03-24,415.837,417.318,418.55,415.663
BTC,2016-03-25,414.75699,415.837,416.808,412.841
BTC,2016-03-26,416.851,414.75699,417.31899,413.92299
BTC,2016-03-27,416.233,416.851,417.068,414.838
BTC,2016-03-28,424.297,416.233,427.001,416.233
BTC,2016-03-29,423.597,424.297,425.042,421.45
BTC,2016-03-30,414.613,423.597,423.847,407.878
BTC,2016-03-31,414.458,414.613,415.618,409.191
BTC,2016-04-01,416.012,414.458,416.938,413.381
BTC,2016-04-02,418.785,416.012,420.895,414.09
BTC,2016-04-03,418.93999,418.785,419.83,418.467
BTC,2016-04-04,418.593,418.93999,419.61,417.203
BTC,2016-04-05,422.044,418.593,422.197,417.412
BTC,2016-04-06,422.29499,422.044,423.242,420.426
BTC,2016-04-07,420.553,422.29499,422.649,420.247
BTC,2016-04-08,421.616,420.553,422.011,418.746
BTC,2016-04-09,415.751,421.616,423.563,413.156
BTC,2016-04-10,418.078,415.751,418.555,415.496
BTC,2016-04-11,421.192,418.078,421.869,418.05
BTC,2016-04-12,426.383,421.192,426.383,419.383
BTC,2016-04-13,426.84399,426.383,427.787,424.38199
BTC,2016-04-14,425.494,426.84399,426.91,422.91999
BTC,2016-04-15,426.279,425.494,426.53599,423.09799
BTC,2016-04-16,429.775,426.279,429.991,424.707
BTC,2016-04-17,430.453,429.775,432.996,429.508
BTC,2016-04-18,429.318,430.453,430.639,426.267
BTC,2016-04-19,428.522,429.318,430.08,427.169
BTC,2016-04-20,435.926,428.522,437.109,428.081
BTC,2016-04-21,443.758,435.926,445.291,435.79
BTC,2016-04-22,446.776,443.758,452.802,441.301
BTC,2016-04-23,447.233,446.776,449.685,443.913
BTC,2016-04-24,455.152,447.233,457.138,445.715
BTC,2016-04-25,458.626,455.152,460.972,450.29
BTC,2016-04-26,464.429,458.626,469.281,455.962
BTC,2016-04-27,466.064,464.429,470.16099,462.439
BTC,2016-04-28,441.304,466.064,468.483,435.282
